"Unexpected error:","Onverwachte fout:"
"This URL works only with HTTPS.","Deze URL werkt alleen met HTTPS."
"Webhook disabled.","Webhook uitgeschakeld."
"Invalid signature.","Ongeldige handtekening."
"Nothing to do.","Niks te doen."
OK,OK
"The subscription has been saved.","De aanmelding is opgeslagen."
BudgetMailer,BudgetMailer
Contacts,Contacten
"This contact no longer exists.","Dit contact bestaat niet meer."
"Add contact","Contact toevoegen"
"There was a problem saving the contact.","Er was een probleem bij het opslaan van dit contact."
"Unable to find contact to save.","Kan contact niet vinden om op te slaan."
"Contact was successfully deleted.","Contact succesvol verwijderd."
"There was an error deleting contact.","Er ging iets fout bij het verwijderen van het contact."
"Could not find contact to delete.","Kan contact niet vinden om te verwijderen."
"Please select contacts to delete.","Selecteer contacten om te verwijderen."
"There was an unexpected error deleting the contact(s).","Contact(en) verwijderen mislukt. Er is iets onverwachts fout gegaan."
"Please select contacts to unsubscribe.","Selecteer contact(en) om af te melden."
"There was an unexpected error unsubscribing the contact(s).","Contact(en) afmelden en verwijderen mislukt. Er is iets onverwachts fout gegaan."
"Please select contacts to unsubscribe and delete.","Selecteer contact(en) om af te melden en te verwijderen."
"There was an unexpected error unsubscribing and deleting the contact(s).","Contact(en) afmelden en verwijderen mislukt. Er is iets onverwachts fout gegaan."
"Deleting of orphan contacts failed.","Verwijderen van wezen contacten mislukt."
"Customers export failed.","Exporteren contacten mislukt."
"Newsletter export failed.","Exporteren nieuwsbrief aanmeldingen mislukt."
"Unregistered customers export failed.","Exporteren ongeregistreerde klanten mislukt."
"BudgetMailer contacts import failed.","importeren BudgetMailer contacten mislukt."
"Please select some item(s).","Selecteer item(s)."
"Newsletter Subscription","Nieuwsbrief aanmeldingen"
"The subscription has been removed.","De aanmelding is verwijderd."
"Save List","Lijst opslaan"
"Delete List","Verwijdern lijst"
"Save And Continue Edit","Opslaan en verder bewerken"
"Add List","Lijst toevoegen"
List,Lijst
"Budgetmailer ID","BudgetMailer ID"
Name,Naam
Status,Status
Enabled,Ingeschakeld
Disabled,Uitgeschakeld
Id,Id
"Created at","Aangemaakt op"
"Updated at","Gewijzigd op"
Action,Actie
Edit,Bewerk
Delete,Verwijderen
"Are you sure?","Weet je het zeker?"
"Change status","Wijzig status"
"Save Contact","Contact opslaan"
"Delete Contact","Verwijder contact"
"Add Contact","Contact toevoegen"
Contact,Contact
Subscribe,Aanmelden
"Delete from BudgetMailer","Verwijderen in BudgetMailer"
"Unsubscribe from BudgetMailer","Afmelden in BudgetMailer"
"Delete and Unsubscribe from BudgetMailer","Afmelden en verwijderen in BudgetMailer"
"BudgetMailer Newsletter","BudgetMailer Nieuwsbrief"
"Delete Orphans","Verwijder wezen"
"Export Magento Customers","Exporteer Magento klanten"
"Export Magento Newsletter Subscribers","Exporteer Magento nieuwsbrief aanmeldingen"
"Export unregistered Customers","Exporteer ongeregistreerde klanten"
"Import BudgetMailer Contacts","Importeer BudgetMailer contacten"
"Couldn't delete contact from BudgetMailer API.","Kan contact niet verwijderen met BudgetMailer API."
"Couldn't delete tag from contact from BudgetMailer API.","Kan tag van contact niet verwijderen met BudgetMailer API."
"Couldn't get the contact from BudgetMailer API.","Kan contact niet ophalen met BudgetMailer API."
"Couldn't get contacts from BudgetMailer API.","Kan contacten niet ophalen met BudgetMailer API."
"Couldn't get the lists from BudgetMailer API.","Kan lijsten niet ophalen met BudgetMailer API."
"Couldn't get tags from BudgetMailer API.","Kan tags niet ophalen met BudgetMailer API."
"Couldn't subscribe contact to BudgetMailer API.","Kan contact niet aanmelden met BudgetMailer API."
"Invalid bulk method.","Ongeldige bulk-methode."
"Couldn't bulk process contacts in BudgetMailer API.","Kan bulk verwerken contacten met de BudgetMailer API niet uitvoeren"
"Couldn't post tags to BudgetMailer API.","Kan tags niet posten met BudgetMailer API."
"Couldn't update contact in BudgetMailer API.","Kan contact niet wijzigen met BudgetMailer API."
"Invalid API endpoint, key and secret combination.","Ongeldige API endpoint, sleutel en geheime combinatie."
"Billing Address",Facturatieadres
"Shipping Address",Verzendingsadres
"Do nothing","Niks doen"
"Use new primary address","Nieuw hoofdadres gebruiken"
"Display checked checkbox","Geef aangevinkte selectievak weer"
"Display unchecked checkbox","Geef lege selectievak weer"
"Don't display checkbox, sign-up automatically","Geef selectievak niet weer, maar meldt automatisch aan"
"Select List","Selecteer lijst"
"Update Contact","Contact bijwerken"
Remove,Verwijder
"Add Tag","Tag toevoegen"
"No Tags","Geen tags"
"BudgetMailer list is not set.","BudgetMailer lijst niet aangegeven."
"Sign Up for Newsletter","Meld je aan voor nieuwsbrief"
"Subscribed to newsletter?","Aanmelden voor nieuwsbrief?"
Back,Terug
Save,Opslaan
Newsletter,Nieuwsbrief
"Sign Up for Our Newsletter:","Meld je aan voor onze nieuwsbrief:"
"Sign up for our newsletter","Meld je aan voor onze nieuwsbrief"
"Email","E-mailadres"
"First Name","Voornaam"
"Insertion","Tussenvoegsel"
"Last Name","Achternaam"
"Sex","Geslacht"
"Male","Man",
"Female","Vrouw"
"Address","Adres"
"Postal Code","Postcode"
"City","Plaats"
"Telephone","Telefoon"
"Mobile","Mobiel"
"Remarks","Opmerkingen"
"Tags","Tags"
"Company","Bedrijfsnaam"
"Company Name","Bedrijfsnaam"
"Country Code","Landcode"
